stock_symbol,date_only,data_source,Open,High,Low,Close,Volume,daily_return,sentiment_compound_filled,sentiment_positive_filled,sentiment_negative_filled,sentiment_neutral_filled,prev_day_sentiment_compound_filled,prev_day_sentiment_positive_filled,prev_day_sentiment_negative_filled,prev_day_sentiment_neutral_filled,sentiment_compound_is_filled,prev_day_sentiment_compound_is_filled,no_post_prediction,post_count_filled,prev_day_post_count_filled,day_of_week,month,is_quarter_end,volatility,sentiment_7day_avg,next_day_direction,predicted_direction,next_day_up,next_day_return
AAPL,2024-03-01,news,178.7061902,179.6815803,176.5463901,178.8156738,73488000,0.06126461068,-0.341112963,0.0945,0.07361111111,0.8318148148,0.158887037,0.0945,0.07361111111,0.8318148148,TRUE,TRUE,FALSE,1.185185185,1.185185185,4,3,FALSE,1.754382536,0.158887037,down,down,0,-0.5960759747
AAPL,2024-03-04,news,175.3221528,176.0686281,172.9732434,174.2770996,81510100,-0.5960759747,0.03,0.0945,0.07361111111,0.8318148148,0.158887037,0.0945,0.07361111111,0.8318148148,TRUE,TRUE,TRUE,1.185185185,1.185185185,0,3,FALSE,1.76554114,0.158887037,flat,flat,0,-0.3747946886
AAPL,2024-03-05,news,169.9574872,171.2314705,168.8228454,169.3204956,95132400,-0.3747946886,0.05,0.0945,0.07361111111,0.8318148148,0.158887037,0.0945,0.07361111111,0.8318148148,TRUE,TRUE,TRUE,1.185185185,1.185185185,1,3,FALSE,1.417192695,0.158887037,down,flat,0,-1.134106436
AAPL,2024-03-06,news,170.256065,170.435227,167.8872455,168.3251801,68587700,-1.134106436,0.05,0.0945,0.07361111111,0.8318148148,0.158887037,0.0945,0.07361111111,0.8318148148,TRUE,TRUE,TRUE,1.185185185,1.185185185,2,3,FALSE,1.496558432,0.158887037,flat,flat,0,-0.08867508241
AAPL,2024-03-07,news,168.3550538,169.9276302,167.698167,168.2057648,71765100,-0.08867508241,-0.341112963,0.0945,0.07361111111,0.8318148148,0.158887037,0.0945,0.07361111111,0.8318148148,TRUE,TRUE,TRUE,1.185185185,1.185185185,3,3,FALSE,1.324262675,0.158887037,up,down,1,1.023666111
AAPL,2024-03-08,news,168.2057622,172.8836709,168.1460466,169.9276276,76114600,1.023666111,0.658887037,0.0945,0.07361111111,0.8318148148,0.158887037,0.0945,0.07361111111,0.8318148148,TRUE,TRUE,TRUE,1.185185185,1.185185185,4,3,FALSE,2.816564797,0.158887037,flat,up,0,-0.1098661031
AAPL,2024-03-11,news,172.1272504,173.5604854,171.2414336,171.9381409,60139500,-0.1098661031,-0.3555,0.038,0.188,0.774,0.158887037,0.0945,0.07361111111,0.8318148148,FALSE,TRUE,TRUE,1,1.185185185,0,3,FALSE,1.347289117,0.01397460317,flat,up,0,0.04620377353
AAPL,2024-03-12,news,172.3362372,173.2121063,170.2062952,172.415863,59825400,0.04620377353,-1.3555,0.038,0.188,0.774,-0.8555,0.038,0.188,0.774,TRUE,FALSE,FALSE,1,1,1,3,FALSE,1.744154998,-0.1309378307,down,down,0,-0.9492384957
AAPL,2024-03-13,news,171.9580519,172.3760763,169.9574884,170.3257599,52488700,-0.9492384957,0.05,0.038,0.188,0.774,-0.8555,0.038,0.188,0.774,TRUE,TRUE,TRUE,1,1,2,3,FALSE,1.406498741,-0.2758502646,flat,flat,0,0.0520480805
AAPL,2024-03-14,news,172.0973926,173.490807,171.2414336,172.1869659,72913500,0.0520480805,-1.3555,0.038,0.188,0.774,-0.8555,0.038,0.188,0.774,TRUE,TRUE,TRUE,1,1,3,3,FALSE,1.307035139,-0.4207626984,up,down,1,0.8471092854
AAPL,2024-03-15,news,170.3655638,171.8087463,169.4896946,171.8087463,121664700,0.8471092854,-1.3555,0.038,0.188,0.774,-0.8555,0.038,0.188,0.774,TRUE,TRUE,TRUE,1,1,4,3,FALSE,1.361220924,-0.5656751323,down,down,0,-1.053714203
AAPL,2024-03-18,news,174.7448915,176.8748336,172.7045227,172.9035797,75604200,-1.053714203,-0.3555,0.038,0.188,0.774,-0.8555,0.038,0.188,0.774,TRUE,TRUE,TRUE,1,1,0,3,FALSE,2.386513793,-0.7105875661,up,up,1,0.9980529596
